list-none-m,1,1000,1,3000,4627467,4627,186349
list-none-m,4,1000,1,12000,23797983,5949,13070657
list-none-m,8,1000,1,24000,98892040,12361,386721491
list-none-m,16,1000,1,48000,863604382,53975,9496427991
list-none-m,32,1000,1,96000,2398029545,74938,42573390830
list-none-m,48,1000,1,144000,6501129694,135440,201661299552
list-none-m,1,1000,4,3000,1209772,1209,183293
list-none-m,4,1000,4,12000,11558175,2889,4392008
list-none-m,8,1000,4,24000,31868833,3983,56382584
list-none-m,16,1000,4,48000,176130969,11008,1766642260
list-none-m,32,1000,4,96000,321554013,10048,5451754331
list-none-m,48,1000,4,144000,2938080358,61210,79015481312
list-none-m,1,1000,8,3000,1017083,1017,204586
list-none-m,4,1000,8,12000,7373313,1843,785749
list-none-m,8,1000,8,24000,22363491,2795,26969696
list-none-m,16,1000,8,48000,294656751,18416,1921089547
list-none-m,32,1000,8,96000,256476364,8014,4233295486
list-none-m,48,1000,8,144000,486910126,10143,10392791158
list-none-m,1,1000,16,3000,828747,828,196471
list-none-m,4,1000,16,12000,5593526,1398,739756
list-none-m,8,1000,16,24000,12723144,1590,1526472
list-none-m,16,1000,16,48000,82377349,5148,634880287
list-none-m,32,1000,16,96000,293281573,9165,4599617891
list-none-m,48,1000,16,144000,1067418093,22237,30259116538
