add-yield-none,8,100,1600,8164617,5102,77
add-yield-none,8,1000,16000,13474646,842,1228
add-yield-none,8,10000,160000,172396617,1077,1393
add-yield-none,8,100000,1600000,832796644,520,1516
add-yield-none,32,100,6400,9382712,1466,148
add-yield-none,32,1000,64000,94740507,1480,1154
add-yield-none,32,10000,640000,501868520,784,363
add-yield-none,32,100000,6400000,3094501826,483,577
add-none,8,100,1600,161596,100,0
add-none,8,1000,16000,194457,12,0
add-none,8,10000,160000,4326020,27,0
add-none,8,100000,1600000,5053321,3,0
add-none,32,100,6400,600557,93,0
add-none,32,1000,64000,2396931,37,0
add-none,32,10000,640000,3861467,6,0
add-none,32,100000,6400000,33732698,5,-38130
