list-none-none,4,1,1,12,1507783,376945
list-none-none,4,10,1,120,76577,1914
list-none-none,4,100,1,1200,1227445,3068
list-none-none,4,1000,1,12000,20281241,5070
list-none-none,8,1,1,24,168827,21103
list-none-none,8,10,1,240,143905,1798
list-none-none,8,100,1,2400,364809,456
list-none-none,8,1000,1,24000,156159258,19519
list-none-none,16,1,1,48,3332978,208311
list-none-none,16,10,1,480,2745661,17160
list-none-none,16,100,1,4800,591601,369
list-none-none,16,1000,1,48000,437837144,27364
list-none-none,24,1,1,72,503909,20996
list-none-none,24,10,1,720,482544,2010
list-none-none,24,100,1,7200,2807355,1169
list-none-none,24,1000,1,72000,1582753675,65948
list-i-none,4,1,1,12,91398,22849
list-i-none,4,2,1,24,803300,100412
list-i-none,8,1,1,24,673553,84194
list-i-none,16,1,1,48,1143267,71454
list-i-none,24,1,1,72,1225208,51050
list-d-none,4,1,1,12,794159,198539
list-d-none,4,2,1,24,543660,67957
list-d-none,4,4,1,48,761472,47592
list-d-none,4,8,1,96,328644,10270
list-d-none,4,16,1,192,603288,9426
list-d-none,4,32,1,384,733131,5727
list-d-none,8,1,1,24,699718,87464
list-d-none,8,2,1,48,763360,47710
list-d-none,8,4,1,96,740484,23140
list-d-none,8,8,1,192,825908,12904
list-d-none,8,16,1,384,812893,6350
list-d-none,8,32,1,768,1168441,4564
list-d-none,16,1,1,48,1036168,64760
list-d-none,16,2,1,96,1027216,32100
list-d-none,16,4,1,192,1136951,17764
list-d-none,16,8,1,384,1315181,10274
list-d-none,16,16,1,768,6990587,27306
list-d-none,16,32,1,1536,897699,1753
list-d-none,24,1,1,72,1938610,80775
list-d-none,24,2,1,144,1117672,23284
list-d-none,24,4,1,288,1467145,15282
list-d-none,24,8,1,576,2220065,11562
list-d-none,24,16,1,1152,1149751,2994
list-d-none,24,32,1,2304,3309794,4309
list-il-none,4,1,1,12,80677,20169
list-il-none,8,1,1,24,156698,19587
list-il-none,16,1,1,48,1075467,67216
list-il-none,24,1,1,72,1454454,60602
list-dl-none,4,1,1,12,633132,158283
list-dl-none,4,2,1,24,535645,66955
list-dl-none,4,4,1,48,570433,35652
list-dl-none,4,8,1,96,591391,18480
list-dl-none,4,16,1,192,695637,10869
list-dl-none,4,32,1,384,959545,7496
list-dl-none,8,1,1,24,653628,81703
list-dl-none,8,2,1,48,720447,45027
list-dl-none,8,4,1,96,728660,22770
list-dl-none,8,8,1,192,867295,13551
list-dl-none,8,16,1,384,986537,7707
list-dl-none,8,32,1,768,1387939,5421
list-dl-none,16,1,1,48,1080580,67536
list-dl-none,16,2,1,96,1700579,53143
list-dl-none,16,4,1,192,928380,14505
list-dl-none,16,8,1,384,2872661,22442
list-dl-none,16,16,1,768,532655,2080
list-dl-none,16,32,1,1536,2363439,4616
list-dl-none,24,1,1,72,5605650,233568
list-dl-none,24,2,1,144,1731540,36073
list-dl-none,24,4,1,288,2085842,21727
list-dl-none,24,8,1,576,1659204,8641
list-dl-none,24,16,1,1152,2202609,5735
list-dl-none,24,32,1,2304,3642230,4742
